tc_po_line_id;N_SolicitudCliente;N_OrdenDistribu;Fecha_Creacion_Orden;FechaCompromiso;EstOrden;EstLineaOrden;Estado_OD;SKU;DescSKU;CantSKU;DESPACHO;Tipo_Orden;Mes;Año;Descripcion TipoVenta;Tipo Venta;N_OrdenDistribu;Horario;Horario2;Fecha Creacion
1;115261913;null;04-11-2017 21:24;04/12/17;Allocated;Allocated;null;128261013;646POMLV18-016 PO/BGCL3/T 12;1;null;Pickup;12;2017;Stock CD;2;1;2;09;2017-12-04 13:00:00
2;115261913;null;04-11-2017 21:24;04/12/17;Allocated;Allocated;null;128042019;640VETBV18-195 VE/ROBR4/T 24M;1;null;Pickup;12;2017;Stock CD;2;1;2;09;2017-12-04 13:00:00
3;115261913;null;04-11-2017 21:24;04/12/17;Allocated;Allocated;null;174967018;646POMLV18-028 PO/AZOS7/T 16;1;null;Pickup;12;2017;Stock CD;2;1;2;09;2017-12-04 13:00:00
4;115261913;null;04-11-2017 21:24;04/12/17;Allocated;Allocated;null;175215006;646SHMLV18-145 BE/NEGRO/T 12;1;null;Pickup;12;2017;Stock CD;2;1;2;09;2017-12-04 13:00:00
1;115262114;121991962;04-11-2017 22:14;02/12/17;Fac Allocated;Fac Allocated;Shipped;128042017;640VETBV18-195 VE/ROBR4/T 12M;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
2;115262114;121991962;04-11-2017 22:14;02/12/17;Fac Allocated;Fac Allocated;Shipped;174967018;646POMLV18-028 PO/AZOS7/T 16;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
3;115262114;121991962;04-11-2017 22:14;02/12/17;Fac Allocated;Fac Allocated;Shipped;128278010;646VEMLV18-181 VE/ROAB3/T 14;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
1;115262331;121992035;04-11-2017 22:53;02/12/17;Fac Allocated;Fac Allocated;Shipped;116053014;643POAVV18-401 PO/VEOS3/T 8;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
2;115262331;121992035;04-11-2017 22:53;02/12/17;Fac Allocated;Fac Allocated;Shipped;116128014;643POTSV18-300 PO/AZMA7/T 8;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:30:00
3;115262331;121992035;04-11-2017 22:53;02/12/17;Fac Allocated;Fac Allocated;Shipped;552356003;CANVAS PERROS/AZUL;1;200;Pickup;12;2017;Stock CD;2;2;2;10;2017-12-02 04:32:00
1;115262738;null;05-11-2017 01:16;04/12/17;Partially Allocated;Allocated;null;141514014;682SCOPV18-220 OJ/NEGRO/N 40;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
2;115262738;null;05-11-2017 01:16;04/12/17;Partially Allocated;Allocated;null;114946002;FUNDA PLUMON/BGAB1;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
3;115262738;null;05-11-2017 01:16;04/12/17;Partially Allocated;Allocated;null;339027002;POL CREW N CB/GROS1/S;2;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
4;115262738;null;05-11-2017 01:16;04/12/17;Partially Allocated;Allocated;null;339027046;POL CREW N CB/RJCL1/S;1;null;Pickup;12;2017;Stock CD;2;1;2;01;2017-12-04 13:00:00
1;115267389;122204255;05-11-2017 23:52;05/12/17;Fac Allocated;Fac Allocated;Shipped;412631999;ADGH 200ML EDICION LIMITADA;1;200;Pickup;12;2017;Stock CD;2;2;2;11;2017-12-05 13:56:00
1;115269371;122010998;06-11-2017 00:14;29/11/17;Fac Allocated;Fac Allocated;Shipped;143201999;NAKED FLUSHED STREAK;1;200;Pickup;11;2017;Stock CD;2;2;2;12;2017-11-29 22:32:00
1;115302779;122408172;06-11-2017 09:33;30/11/17;Fac Allocated;Fac Allocated;Shipped;966753999;CEL SAM J3 2016 N CLA;1;200;Pickup;11;2017;Stock CD;2;2;2;09;2017-11-30 21:32:00
